"AUFTRAG_ID","KDNR","BP_ID","KOMM_MITTEL","STATUS","DT_ERF","PERS_NR_ERF","DT_AEND","PERS_NR_AEND","AUFTRAG_ART","GELD_DISPO_ID"
"4606754","1188760415","8159583","B","1","05.10.2015 14:31:13","ext2913","","","SO",""
"4517941","1183375615","7719934","B","1","21.10.2014 07:47:31","ext2913","","","SO",""
